
Real-world recognition confidence — model=gemini:gemini-2.5-flash, 8 fixtures

=== cb_Bericht_ZugRaster.jpg === (19.4s)
header: White="" Black="" Event=""  overall=0.30
  ply  side   read -> san        legality  conf  state
  10   white  ??                 illegal   0.00  illegal
  11   white  ??                 illegal   0.00  illegal
  12   white  ??                 illegal   0.00  illegal
  13   white  ??                 illegal   0.00  illegal
  14   white  ??                 illegal   0.00  illegal
  15   white  ??                 illegal   0.00  illegal
  16   white  ??                 illegal   0.00  illegal
  17   white  ??                 illegal   0.00  illegal
  18   white  ??                 illegal   0.00  illegal
  19   white  ??                 illegal   0.00  illegal
  20   white  ??                 illegal   0.00  illegal
  21   white  ??                 illegal   0.00  illegal
  22   white  ??                 illegal   0.00  illegal
  23   white  ??                 illegal   0.00  illegal
  24   white  ??                 illegal   0.00  illegal
  25   white  ??                 illegal   0.00  illegal
  26   white  ??                 illegal   0.00  illegal
  27   white  ??                 illegal   0.00  illegal
  28   white  ??                 illegal   0.00  illegal
  29   white  ??                 illegal   0.00  illegal
  30   white  ??                 illegal   0.00  illegal
  31   white  ??                 illegal   0.00  illegal
  32   white  ??                 illegal   0.00  illegal
  33   white  ??                 illegal   0.00  illegal
  34   white  ??                 illegal   0.00  illegal
  35   white  ??                 illegal   0.00  illegal
  36   white  ??                 illegal   0.00  illegal
  37   white  ??                 illegal   0.00  illegal
  38   white  ??                 illegal   0.00  illegal
  39   white  ??                 illegal   0.00  illegal
  40   white  ??                 illegal   0.00  illegal
  41   white  ??                 illegal   0.00  illegal
  42   white  ??                 illegal   0.00  illegal
  43   white  ??                 illegal   0.00  illegal
  44   white  ??                 illegal   0.00  illegal
  45   white  ??                 illegal   0.00  illegal
  46   white  ??                 illegal   0.00  illegal
  47   white  ??                 illegal   0.00  illegal
  48   white  ??                 illegal   0.00  illegal
  49   white  ??                 illegal   0.00  illegal
  50   white  ??                 illegal   0.00  illegal
  51   white  ??                 illegal   0.00  illegal
  52   white  ??                 illegal   0.00  illegal
  53   white  ??                 illegal   0.00  illegal
  54   white  ??                 illegal   0.00  illegal
  55   white  ??                 illegal   0.00  illegal
  56   white  ??                 illegal   0.00  illegal
  57   white  ??                 illegal   0.00  illegal
  58   white  ??                 illegal   0.00  illegal
  59   white  ??                 illegal   0.00  illegal
  60   white  ??                 illegal   0.00  illegal
  61   white  ??                 illegal   0.00  illegal
  62   white  ??                 illegal   0.00  illegal
  63   white  ??                 illegal   0.00  illegal
  64   white  ??                 illegal   0.00  illegal
  65   white  ??                 illegal   0.00  illegal
  66   white  ??                 illegal   0.00  illegal
  67   white  ??                 illegal   0.00  illegal
  68   white  ??                 illegal   0.00  illegal
  69   white  ??                 illegal   0.00  illegal
  70   white  ??                 illegal   0.00  illegal
  71   white  ??                 illegal   0.00  illegal
  72   white  ??                 illegal   0.00  illegal
  73   white  ??                 illegal   0.00  illegal
  74   white  ??                 illegal   0.00  illegal
  75   white  ??                 illegal   0.00  illegal
  76   white  ??                 illegal   0.00  illegal
  77   white  ??                 illegal   0.00  illegal
  78   white  ??                 illegal   0.00  illegal
  79   white  ??                 illegal   0.00  illegal
  80   white  ??                 illegal   0.00  illegal
  summary: 80 plies · 0 ok · 0 verify · 80 illegal · mean conf 0.00

=== wiki_carlsen.jpg === (22.3s)
header: White="" Black="" Event=""  overall=0.30
  ply  side   read -> san        legality  conf  state
  1    white  e4                 legal     0.90  ok
  2    black  e5                 legal     0.90  ok
  summary: 2 plies · 2 ok · 0 verify · 0 illegal · mean conf 0.90

=== wiki_chess_score_sheet.jpg === (3.8s)
header: White="" Black="" Event=""  overall=0.50
  ply  side   read -> san        legality  conf  state
  summary: 0 plies · 0 ok · 0 verify · 0 illegal · mean conf 0.00

=== wiki_eisenberg_capablanca.jpg === (13.0s)
header: White="Eisenberg" Black="J. Capablanca" Event="Two Knights defence"  overall=0.50
  ply  side   read -> san        legality  conf  state
  1    white  P-K4               illegal   0.00  illegal
  2    white  P-K4               illegal   0.00  illegal
  3    white  S-KB3 -> N-KB3     illegal   0.00  illegal
  4    white  S-QB3 -> N-QB3     illegal   0.00  illegal
  5    white  B-B4               illegal   0.00  illegal
  6    white  S-B3 -> N-B3       illegal   0.00  illegal
  7    white  S-K5 -> N-K5       illegal   0.00  illegal
  8    white  P-Q4               illegal   0.00  illegal
  9    white  PxP                illegal   0.00  illegal
  10   white  S-R4 -> N-R4       illegal   0.00  illegal
  11   white  S-B5+ -> N-B5+     illegal   0.00  illegal
  12   white  P-B3               illegal   0.00  illegal
  13   white  PxP                illegal   0.00  illegal
  14   white  PxP                illegal   0.00  illegal
  15   white  S-K2 -> N-K2       illegal   0.00  illegal
  16   white  P-KR3              illegal   0.00  illegal
  17   white  S-B3 -> N-B3       illegal   0.00  illegal
  18   white  P-K5               illegal   0.00  illegal
  19   white  S-K5 -> N-K5       illegal   0.00  illegal
  20   white  Q-Q5               illegal   0.00  illegal
  21   white  P-KB4              illegal   0.00  illegal
  22   white  B-B4               illegal   0.00  illegal
  23   white  P-B3               illegal   0.00  illegal
  24   white  B-B3               illegal   0.00  illegal
  25   white  P-Q3               illegal   0.00  illegal
  26   white  P-Q5               illegal   0.00  illegal
  27   white  P-KR4              illegal   0.00  illegal
  28   white  S-KR2 -> N-KR2     illegal   0.00  illegal
  29   white  Q-R4               illegal   0.00  illegal
  30   white  B-Q2               illegal   0.00  illegal
  31   white  S-R5 -> N-R5       illegal   0.00  illegal
  32   white  O-O                illegal   0.00  illegal
  33   white  S(R5) B4 -> N(R5)… illegal   0.00  illegal
  34   white  B-B2               illegal   0.00  illegal
  35   white  S x B -> N x B     illegal   0.00  illegal
  36   white  S x S -> N x S     illegal   0.00  illegal
  37   white  Q-B2               illegal   0.00  illegal
  38   white  K R-K              illegal   0.00  illegal
  39   white  P-QB4              illegal   0.00  illegal
  40   white  P-QR4              illegal   0.00  illegal
  41   white  Q R-Q              illegal   0.00  illegal
  42   white  Q R-Q              illegal   0.00  illegal
  43   white  Q-B3               illegal   0.00  illegal
  44   white  B-B2               illegal   0.00  illegal
  45   white  P-R3               illegal   0.00  illegal
  46   white  PxP                illegal   0.00  illegal
  47   white  PxP                illegal   0.00  illegal
  48   white  P-B4               illegal   0.00  illegal
  49   white  S-K5 -> N-K5       illegal   0.00  illegal
  50   white  R-B4               illegal   0.00  illegal
  51   white  S x S -> N x S     illegal   0.00  illegal
  52   white  Q x S              illegal   0.00  illegal
  53   white  B-B2               illegal   0.00  illegal
  54   white  Q x P              illegal   0.00  illegal
  55   white  Q x B              illegal   0.00  illegal
  56   white  Q x P              illegal   0.00  illegal
  57   white  B-K5               illegal   0.00  illegal
  58   white  Resigns            illegal   0.00  illegal
  summary: 58 plies · 0 ok · 0 verify · 58 illegal · mean conf 0.00

=== wiki_fischer_score_card.jpg === (19.8s)
header: White="" Black="" Event=""  overall=0.30
  ply  side   read -> san        legality  conf  state
  1    white  P-K4               illegal   0.00  illegal
  2    white  P-QB4              illegal   0.00  illegal
  summary: 2 plies · 0 ok · 0 verify · 2 illegal · mean conf 0.00

Total wall time: 2m1.045s across 8 fixtures
